threshold,net_benefit_model,net_benefit_treat_all
0.01,0.11584535758089477,0.11420076709332908
0.02,0.11086686967948564,0.10516199941060794
0.03,0.10675032558818875,0.09593686538391319
0.04,0.10284412557139828,0.0865195410649956
0.05,0.09922135280986956,0.07690395728673241
0.060000000000000005,0.09603017871876672,0.06708378661956999
0.06999999999999999,0.09273961620002677,0.05705242948644709
0.08,0.08996339628750696,0.046802999372169335
0.09,0.08720400478642237,0.036328307057577794
0.09999999999999999,0.08463506190778917,0.025620843802661983
0.11,0.081771650208831,0.01467276339595032
0.12,0.07911716382790762,0.00347586297999522
0.13,0.07670255554268093,-0.00797843744552211
0.14,0.07410665444492083,-0.019699116950702575
0.15000000000000002,0.07166897273849145,-0.03169557715012265
0.16,0.06932677711898491,-0.04397766735429075
0.17,0.06718391137887304,-0.0565557115392822
0.18000000000000002,0.06528061738704753,-0.06944053728976128
0.19,0.0628372749584871,-0.08264350688593113
0.2,0.060723367541549354,-0.09617655072200527
0.21000000000000002,0.05880339453411951,-0.11005220326279018
0.22,0.05668166332501997,-0.12428364176615926
0.23,0.054917927409072635,-0.1388847280228626
0.24000000000000002,0.05295780774249673,-0.1538700533915845
0.25,0.05087336905518724,-0.16925498743680562
0.26,0.048851026123753395,-0.18505573051027596
0.27,0.046857874379667645,-0.2012893706542524
0.28,0.04439878303514666,-0.21797394524667257
0.29000000000000004,0.04290779642892318,-0.23512850785578066
0.3,0.04083903109877135,-0.2527732008251489
0.31,0.03904955387168825,-0.27092933417044096
0.32,0.03713265344281387,-0.2896194714376533
0.33,0.03497825105694847,-0.30886752325015565
0.34,0.03315967778777695,-0.3286988493600065
0.35000000000000003,0.03143709437415731,-0.3491403701193912
0.36000000000000004,0.02984515484515484,-0.3702206884025067
0.37,0.02788913827874867,-0.39197022313905433
0.38,0.02642592012093478,-0.4144213557703294
0.39,0.024994379688865517,-0.4376085911108267
0.4,0.022636454454636273,-0.46156873429600714
0.41000000000000003,0.020937460074594128,-0.48634108572475293
0.42000000000000004,0.019705216413680365,-0.5119676561682833
0.43,0.017834239126105156,-0.5384934045221126
0.44,0.016275931860347446,-0.5659665010314362
0.45,0.01467953534069237,-0.5944386192320077
0.46,0.013033263033263034,-0.6239652603288968
0.47000000000000003,0.01212295423273125,-0.6546061142973666
0.48000000000000004,0.01066241450856835,-0.686425462649239
0.49,0.009562629883485503,-0.7194926285835377
0.5,0.008287167378076471,-0.7538824811552085
0.51,0.007119040514216763,-0.7896760011787842
0.52,0.005691278418551143,-0.826960917870009
0.53,0.005488708583486143,-0.8658324267608603
0.54,0.0039229545158398875,-0.9063940012556615
0.55,0.0032089122998213843,-0.9487583123946763
0.56,0.002410812328167696,-0.99304827404001
0.5700000000000001,0.0015666152029788355,-1.0393982339014056
0.5800000000000001,0.000912507406013896,-1.087955334708582
0.59,0.0005648453542023407,-1.1388810745795224
0.6,0.0004427390791027167,-1.1923531014440105
