feature_name,coefficient,odds_ratio_regularised
pneumonia,1.0335319324212622,2.810976501534912
age,0.9566621671188611,2.6029935995079136
diabetes,0.18916947332973877,1.2082457005547587
hypertension,0.11764992959980022,1.1248502656518393
obesity,0.11126540815388648,1.1176915119328108
copd,0.048809688994277706,1.0500205012662291
cardiovascular,0.011575738032964283,1.0116429961587445
asthma,-0.021143156620902277,0.9790787929248573
sex,-0.258585740582905,0.7721428242350842
