predicted_probability,actual_probability,calibration_error
0.020579046154206276,0.022031130220311303,0.001452084066105027
0.14974963304753147,0.15126484254001032,0.0015152094924788528
0.2539544872921508,0.25125268432355047,0.002701802968600342
0.356749716236459,0.3627498781082399,0.006000161871780874
0.45518473616444416,0.4530809504631494,0.002103785701294769
0.545387852707472,0.550965424337674,0.005577571630202005
0.6230904866985365,0.6112054329371817,0.011885053761354847
0.7507832015756921,0.625,0.12578320157569212
0.8476407648188669,1.0,0.15235923518113315
0.9260255146757916,0.6,0.32602551467579166
